date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2018/5/4,28477722,221,224,220.5,223,2.5,224.65,238.5,35.6062562,-6.525071747,-5.466140939,-1.058930808,0.04277025,-1
2018/5/8,40324763,224,228.5,223.5,228,4.5,224.25,236.75,43.25426764,-5.811131158,-5.679232128,-0.13189903,0.038497989,1
2018/5/9,35597934,228.5,232,228.5,229.5,1.5,224.5,236.2333333,45.36575728,-5.189956492,-5.581377001,0.391420509,0.341195365,-1
2018/5/16,14834107,229.5,230.5,228.5,230.5,0,228.1,233.8,46.81591366,-2.60784732,-4.009023414,1.401176094,0.50808811,-1
2018/5/18,28187541,225.5,227.5,223.5,223.5,-3,228.75,232.3333333,37.86772998,-2.915931795,-3.575109273,0.659177478,0.244535555,-1
2018/5/21,16417815,225,230,225,229,5.5,229.3,231.8333333,46.83242985,-2.641788673,-3.388445153,0.74665648,0.039493376,-1
2018/5/22,22422097,230,233.5,229,229,0,229.4,231.3,46.83242985,-2.396898321,-3.190135787,0.793237465,0.26196423,-1
2018/5/23,26737899,231.5,231.5,228.5,228.5,-0.5,229.3,230.7333333,46.13067563,-2.21760362,-2.995629353,0.778025733,0.350093846,-1
2018/5/25,16486294,228.5,229.5,228,228.5,-0.5,228.8,229.55,46.19609919,-1.867823409,-2.612683098,0.744859689,0.121441705,-1
2018/5/29,25770776,226.5,226.5,223.5,225,-2,227.65,228.35,40.79741012,-1.980271336,-2.364692781,0.384421446,0.98155759,-1
2018/6/5,27714384,230,230,226.5,229,0,226.5,226.7166667,50.63543058,-1.652954178,-2.179531161,0.526576983,0.681812047,-1
2018/6/8,24192851,229,229,226,227,-3,226.6,227.15,46.72074004,-0.956119098,-1.625831967,0.669712869,0.103715343,1
2018/6/11,22028933,226.5,227,225,226,-1,226.5,227.2333333,44.98623727,-1.014523917,-1.503570357,0.48904644,0.969216265,-1
2018/6/12,30189360,225,229,224,229,3,226.9,227.3,50.87802442,-0.809404913,-1.364737268,0.555332355,0.040468036,-1
2018/6/19,61142624,225.5,226,224,225,-6,228.55,228.1166667,45.02464182,-0.497636984,-0.803310615,0.30567363,0.543328426,-1
2018/6/21,32572707,227.5,228,226,226.5,0.5,227.9,227.95,47.31284047,-0.661354919,-0.744907011,0.083552092,0.893504217,-1
2018/6/22,44211409,224.5,227.5,224,227.5,1,227.65,227.8833333,48.9157013,-0.609789925,-0.717883594,0.108093669,0.485077299,-1
2018/6/25,49058211,220,220.5,218,218,-9.5,226.75,227.3833333,37.30483869,-1.320275586,-0.838361992,-0.481913594,0.112105486,-1
2018/6/26,43080346,215.5,216,212.5,214.5,-3.5,225.6,226.7666667,34.09396761,-2.141080299,-1.098905654,-1.042174645,0.108189692,-1
2018/6/27,40863414,216,216,212.5,213,-1.5,224,226.1833333,32.79132706,-2.879419259,-1.455008375,-1.424410884,0.011622651,-1
2018/6/28,38816780,211,214.5,210,212,-1,222,225.5666667,31.91584585,-3.504848139,-1.864976328,-1.639871812,0.614134229,-1
2018/7/10,20196957,223,224,222,222,0.5,216.1,222.7333333,50.98851592,-2.481604445,-3.068475921,0.586871476,0.027313868,-1
2018/7/11,19854690,220,220,218,220,-2,216.8,222.5666667,47.99069586,-2.194632184,-2.893707174,0.69907499,0.353457992,-1
2018/7/17,22554436,222.5,223.5,221,221.5,-2,220.1,222.3,49.85095692,-0.807456903,-1.866051069,1.058594166,0.213956469,-1
2018/7/18,45802658,223,224,222,223,1.5,220.8,222.1,52.25597025,-0.561600554,-1.605160966,1.043560412,0.039282876,-1
2018/7/19,43976216,225.5,227,224.5,224.5,1.5,221.8,221.9166667,54.60067888,-0.242919933,-1.332712759,1.089792826,0.362766166,-0.714285714
2018/7/20,103652023,235,237.5,233,237.5,13,223.85,222.1666667,68.86960335,1.046563972,-0.856857413,1.903421385,0.288803324,-1
2018/7/23,52269877,239,245,238.5,241,3.5,225.8,222.6333333,71.46952499,2.324119009,-0.220662128,2.544781138,0.400257398,-1
2018/7/30,22803730,244.5,245.5,244,245.5,1,236,224.9,74.55493189,5.68685249,3.147161747,2.539690743,0.683374974,-1
2018/8/1,29777161,247,248,246.5,248,2,240.95,226.3333333,76.52726999,6.467570036,4.279530713,2.188039323,0.96381877,-1
2018/8/2,22775110,249,249.5,243.5,244.5,-3.5,242.95,226.9333333,68.41586249,6.423049205,4.708234411,1.714814794,0.031480495,-1
2018/8/6,22364568,245,247,244,245.5,-1.5,244.35,228.5,67.50845086,6.39207709,5.333989644,1.058087445,0.314135036,-0.5
2018/8/7,24352418,245,245.5,241.5,241.5,-4,244.4,229.4,59.56319506,5.904306554,5.448053026,0.456253528,0.777590301,1
2018/8/9,15128655,247,248,246,247,-0.5,245.7,231.7166667,65.08974183,5.84886292,5.605886054,0.242976865,0.01822896,-1
2018/8/10,16125492,246.5,247,244.5,245,-2,245.75,232.6666667,61.35426418,5.556356232,5.59598009,-0.039623858,0.045080877,-1
2018/8/15,19236321,244.5,244.5,239.5,241.5,-2,244.35,235.3666667,54.43259752,4.110000127,5.047431941,-0.937431814,0.497744063,-1
2018/8/20,17014437,239.5,240,238,239.5,0,242.45,237.5333333,51.41743126,2.606467574,4.035935652,-1.429468078,0.005842831,-1
2018/8/21,13871127,239,241,238.5,241,1.5,242.4,238.1666667,53.75913339,2.374767004,3.703701922,-1.328934918,0.733624609,-1
2018/8/23,17216240,243,244.5,243,244.5,2.5,241.6,239.7,58.99810897,2.318850447,3.193490428,-0.874639981,0.581065817,-1
2018/8/27,15579299,246,246.5,244.5,245,1.5,241.9,241.05,59.23368107,2.325113456,2.872020216,-0.546906761,0.277974851,-1
