標題,日期,sentiments
[新聞] 台積電被曝將獲蘋果A13晶片訂單！未來全,2018/10/14,0.23454758598611236
[新聞] 降評台積 銀河聯昌獨槓外資圈,2018/10/16,0.6352042999136968
[新聞] 國家隊護指數 連買台積12天,2018/10/17,0.5276611523653605
[新聞] 台積再賣茂迪持股 賠6.9億,2018/10/17,0.19349408731181028
[新聞] 新思攜台積電，5奈米EUV製程技術有新進展,2018/10/17,0.8306293030207212
[新聞] 台積Q4營運 外資唱旺,2018/10/18,0.41430269398657527
[新聞] 台積電上季獲利彈升23.2%　每股賺3.44元,2018/10/18,0.5447945726909141
[新聞] 三降全年成長目標 台積ADR下跌逾2%,2018/10/19,0.002621603566604791
[新聞] 前3季 台積電賺近1個股本,2018/10/19,0.38345388857004437
[新聞] 台積電與微軟攜手顛覆半導體設計流程,2018/10/24,0.01638521259530812
[新聞] 台積電市值蒸發逾9000億　IEK憂美中貿易,2018/10/24,0.6998662441111166
[新聞] 槓上台積電！三星宣布採EUV量產7奈米製程,2018/10/25,0.13397182736252988
[新聞] 台積電CoWoS封裝強力助攻　擴大晶圓代工,2018/10/26,0.11702514079131554
[新聞] Q3本國人專利數 台積電仍第一,2018/10/31,0.964336986911313
[新聞] 貿易戰氣氛下 台積電南京12吋廠宣布量產!,2018/11/03,0.04761556645032128
[新聞] 國際重量級客戶簇擁 台積電7奈米大旗滿天,2018/11/08,0.3021874444487581
[新聞] 超微採用台積電7奈米代工，讓英特爾面臨,2018/11/09,0.28743259673742205
[新聞] 2018年純晶圓代工市場達590億美金、台積,2018/11/14,0.2826598466797564
[新聞] 台積電8月電腦病毒感染損失25.96億 帳列T,2018/11/15,0.9639242922757059
[新聞] 重磅消息！大摩開第一槍 下修台積電目標h,2018/11/16,0.0147238046069047
[新聞] 台積電、聯發科評等 大摩調降,2018/11/17,0.5529558002753251
[新聞] 看不到台積車尾燈？三星新晶片棄7奈米,2018/11/18,0.17617462207505497
[新聞] 傳台積電有望吃 IBM 訂單，轉攻伺服器晶,2018/11/19,0.1766781826363586
[新聞] 台積電、世界先進　傲挺半導體業逆風中,2018/11/20,0.71599343274942
[新聞] 高雄市兩候選人世紀大辯論 台積電掃到颱,2018/11/20,0.33894867117307803
[新聞] 陳其邁錯引台積電負債 陳宜民：假消息影,2018/11/20,0.9278238608415703
[新聞] 台積電18廠工地工人受傷 南科：立即停工,2018/11/21,0.24740655603512784
[新聞] 台積電明年首季營收恐降 外資估季減14%至,2018/11/22,0.12170307650352286
[新聞] 2利空襲 台積電後市埋變數,2018/11/26,0.19210892606779617
[新聞] 蘋果 A13 處理器由台積電 7 奈米＋打造,2018/11/26,0.6018768283039568
[新聞] 蘋果砍單兩樣情　台積電客戶爭7奈米產能,2018/11/27,0.0037554630709951686
[新聞] 台積電2019上半能見度不佳　急call訂單回,2018/11/30,0.04664347284865422
[新聞] 手機銷售將步入淡季　台積明年首季營運,2018/12/02,0.9919044849609774
[新聞] 台積罕見動作 推價格優惠,2018/12/03,0.10317969931309356
[新聞] 台股盤中漲逾200點 台積電市值重登6兆元,2018/12/03,0.05086334162521633
[新聞] 因應明年淡季，傳台積電將推優惠價,2018/12/03,0.4294973491645908
[新聞] 大廠抽單 台積電產能度小月,2018/12/05,0.4665368898886475
[新聞] 高通7奈米S855晶片放量　台積電首季逆風,2018/12/06,0.7111499727094004
[新聞] 台積電2019年資本預算1035億台幣、營收,2018/12/06,0.06851017296869089
[新聞] 台積電傳厲行撙節，比 2009 年還嚴苛,2018/12/06,0.19640404902703767
[新聞] 華為核心供應商名單 台積電、富士康在列,2018/12/07,0.37171254373996343
[新聞] 台積電、日月光都遭殃！日媒：封鎖華為恐,2018/12/10,0.004742036087825752
[新聞]台積電11月營收史上第3高，Q4可望登峰達標,2018/12/10,0.3527724089317197
[新聞] 台積電獨步全球，3 奈米製程已到位！魏哲,2018/12/10,0.8226930674212986
[新聞] 台積電先擴8吋廠　台系MCU、驅動IC、類比,2018/12/12,0.0828474839409582
[新聞] 三星發豪語，2020 年量產 3 奈米超車台積,2018/12/13,0.10101913231930282
[新聞] 台積電揪柑心！　逾百位工程師下鄉採柑作,2018/12/15,0.43791086248492284
[新聞] 環團呼籲台積電　應比照蘋果使用百分百再,2018/12/18,0.8926240924807891
[新聞] 台積電3奈米新廠通過環差案,2018/12/19,0.07661005633778517
[新聞] 7奈米以下燒錢大戰　台積電暫領先三星,2018/12/20,0.01564103960576879
[新聞] 賽靈思推軍規晶片，採用台積電16奈米製程,2018/12/20,0.21507505823287942
[新聞] 鴻海進軍半導體 郭台銘會成為台積電、三,2018/12/23,0.004730855013276636
[新聞] 蘋果光不再！大摩警告：台積財測可能令人,2019/1/07,0.6270295674593338
[新聞] 十年來首度衰退！大摩砍台積電目標價至「,2019/1/07,0.035680625432547686
[新聞] 科技大廠人才需求孔急 台積電、台達電忙搶人,2019/1/07,0.9293620306870531
[新聞] 三星「殞落」重擊費半  Nvidia、台積電AD,2019/1/09,0.020230908686815874
[新聞] 首度突破兆元！台積電去年營收1兆314億7,2019/1/10,0.9854019856257173
[新聞] 外資：台積將演利空出盡行情,2019/1/12,0.7773242857090519
[新聞] 看衰今年半導體需求，美系外資下修台積電,2019/1/15,0.3841701194876267
[新聞] 台積電失寵！他警告情況變更糟　建議轉,2019/1/15,0.03325885089923719
